Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
07-26-2014,88050.0,2015 M3,37424,-0.97,-1.26,-3.4
09-05-2014,86574.0,2015 M3,37424,-0.97,-1.26,-3.4
10-16-2014,70219.2205882353,2015 M3,37424,-0.97,-1.26,-3.4
11-26-2014,75079.88040123456,2015 M3,37424,-0.97,-1.26,-3.4
01-06-2015,75674.49185823755,2015 M3,37424,-0.97,-1.26,-3.4
02-16-2015,74208.98369874715,2015 M3,37424,-0.97,-1.26,-3.4
03-29-2015,73044.27267530488,2015 M3,37424,-0.97,-1.26,-3.4
05-09-2015,72735.55610709988,2015 M3,37424,-0.97,-1.26,-3.4
06-19-2015,71917.18171296296,2015 M3,37424,-0.97,-1.26,-3.4
07-30-2015,70093.94598142165,2015 M3,37424,-0.97,-1.26,-3.4
09-09-2015,69694.83285052143,2015 M3,37424,-0.97,-1.26,-3.4
10-20-2015,69013.11168132942,2015 M3,37424,-0.97,-1.26,-3.4
11-30-2015,68853.85493587253,2015 M3,37424,-0.97,-1.26,-3.4
01-10-2016,68235.99425634825,2015 M3,37424,-0.97,-1.26,-3.4
02-20-2016,65846.84371013014,2015 M3,37424,-0.97,-1.26,-3.4
04-01-2016,65181.48553392951,2015 M3,37424,-0.97,-1.26,-3.4
05-12-2016,66143.80369169368,2015 M3,37424,-0.97,-1.26,-3.4
06-22-2016,66187.70780141844,2015 M3,37424,-0.97,-1.26,-3.4
08-02-2016,64996.35077692445,2015 M3,37424,-0.97,-1.26,-3.4
09-12-2016,63397.64343486491,2015 M3,37424,-0.97,-1.26,-3.4
10-23-2016,62066.20265151515,2015 M3,37424,-0.97,-1.26,-3.4
12-03-2016,60247.38245552843,2015 M3,37424,-0.97,-1.26,-3.4
01-13-2017,59233.38608275121,2015 M3,37424,-0.97,-1.26,-3.4
02-23-2017,58074.24094960888,2015 M3,37424,-0.97,-1.26,-3.4
04-05-2017,56760.97656765676,2015 M3,37424,-0.97,-1.26,-3.4
05-16-2017,56713.80042527339,2015 M3,37424,-0.97,-1.26,-3.4
06-26-2017,56829.91852752598,2015 M3,37424,-0.97,-1.26,-3.4
08-06-2017,55812.439489267206,2015 M3,37424,-0.97,-1.26,-3.4
09-16-2017,54654.62006602555,2015 M3,37424,-0.97,-1.26,-3.4
10-27-2017,53776.80928208847,2015 M3,37424,-0.97,-1.26,-3.4
12-07-2017,51209.094816358425,2015 M3,37424,-0.97,-1.26,-3.4
01-17-2018,50734.471688637794,2015 M3,37424,-0.97,-1.26,-3.4
02-27-2018,49969.85241035384,2015 M3,37424,-0.97,-1.26,-3.4
04-09-2018,50117.37274201019,2015 M3,37424,-0.97,-1.26,-3.4
05-20-2018,50065.386638171345,2015 M3,37424,-0.97,-1.26,-3.4
06-30-2018,50042.30873739017,2015 M3,37424,-0.97,-1.26,-3.4
08-10-2018,49734.22662406816,2015 M3,37424,-0.97,-1.26,-3.4
09-20-2018,49210.76232679187,2015 M3,37424,-0.97,-1.26,-3.4
10-31-2018,48020.730200945625,2015 M3,37424,-0.97,-1.26,-3.4
12-11-2018,46567.74519062609,2015 M3,37424,-0.97,-1.26,-3.4
01-21-2019,45746.2801530153,2015 M3,37424,-0.97,-1.26,-3.4
03-03-2019,44788.775340393346,2015 M3,37424,-0.97,-1.26,-3.4
04-13-2019,43633.6240352065,2015 M3,37424,-0.97,-1.26,-3.4
05-24-2019,43044.78416264389,2015 M3,37424,-0.97,-1.26,-3.4
07-04-2019,43254.01148249204,2015 M3,37424,-0.97,-1.26,-3.4
08-14-2019,43108.14191908494,2015 M3,37424,-0.97,-1.26,-3.4
09-24-2019,42758.11598460292,2015 M3,37424,-0.97,-1.26,-3.4
11-04-2019,42385.269335569064,2015 M3,37424,-0.97,-1.26,-3.4
12-15-2019,41246.62934196332,2015 M3,37424,-0.97,-1.26,-3.4
01-25-2020,40828.37069551427,2015 M3,37424,-0.97,-1.26,-3.4
03-06-2020,41423.70240345666,2015 M3,37424,-0.97,-1.26,-3.4
04-16-2020,40768.80687593423,2015 M3,37424,-0.97,-1.26,-3.4
05-27-2020,39470.568425897516,2015 M3,37424,-0.97,-1.26,-3.4
07-07-2020,38986.00301305658,2015 M3,37424,-0.97,-1.26,-3.4
08-17-2020,39537.46085858586,2015 M3,37424,-0.97,-1.26,-3.4
09-27-2020,40232.49287840136,2015 M3,37424,-0.97,-1.26,-3.4
11-07-2020,41615.86445389143,2015 M3,37424,-0.97,-1.26,-3.4
12-18-2020,41690.41846819024,2015 M3,37424,-0.97,-1.26,-3.4
01-28-2021,41038.102778800145,2015 M3,37424,-0.97,-1.26,-3.4
03-10-2021,40440.96367202092,2015 M3,37424,-0.97,-1.26,-3.4
04-20-2021,41289.411857578394,2015 M3,37424,-0.97,-1.26,-3.4
05-31-2021,43630.84221049264,2015 M3,37424,-0.97,-1.26,-3.4
07-11-2021,45697.11125611745,2015 M3,37424,-0.97,-1.26,-3.4
08-21-2021,45729.93026627999,2015 M3,37424,-0.97,-1.26,-3.4
10-01-2021,45608.00091407678,2015 M3,37424,-0.97,-1.26,-3.4
11-11-2021,46377.07447795824,2015 M3,37424,-0.97,-1.26,-3.4
12-22-2021,47400.1431018936,2015 M3,37424,-0.97,-1.26,-3.4
02-01-2022,47930.71185923515,2015 M3,37424,-0.97,-1.26,-3.4
03-14-2022,47385.7387052611,2015 M3,37424,-0.97,-1.26,-3.4
04-24-2022,46570.01836130306,2015 M3,37424,-0.97,-1.26,-3.4
06-04-2022,47171.92617373554,2015 M3,37424,-0.97,-1.26,-3.4
07-15-2022,46547.732713100326,2015 M3,37424,-0.97,-1.26,-3.4
08-25-2022,45812.63511717806,2015 M3,37424,-0.97,-1.26,-3.4
10-05-2022,45554.246342672945,2015 M3,37424,-0.97,-1.26,-3.4
11-15-2022,44902.59418808411,2015 M3,37424,-0.97,-1.26,-3.4
12-26-2022,43389.21412916423,2015 M3,37424,-0.97,-1.26,-3.4
02-05-2023,42476.22766505148,2015 M3,37424,-0.97,-1.26,-3.4
03-18-2023,41682.083511586454,2015 M3,37424,-0.97,-1.26,-3.4
04-28-2023,42636.96749036102,2015 M3,37424,-0.97,-1.26,-3.4
06-08-2023,42452.44834017158,2015 M3,37424,-0.97,-1.26,-3.4
07-19-2023,41965.23590909091,2015 M3,37424,-0.97,-1.26,-3.4
08-29-2023,41626.51517690875,2015 M3,37424,-0.97,-1.26,-3.4
10-09-2023,41961.32937654831,2015 M3,37424,-0.97,-1.26,-3.4
